,Number,Country,Total Cases,Total Deaths,Total Recovered,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population,Continent
32,36,Switzerland,4401379,14452,4383180,501660,1647,23833472,2716487,8773637,Europe
33,37,Philippines,4090996,66444,4019592,36362,591,34996447,311055,112508994,Asia
34,38,South Africa,4076463,102595,3912506,67095,1689,26795090,441027,60756135,Africa
35,39,Romania,3387788,68047,3312844,178011,3576,27242332,1431446,19031335,Europe
36,40,Denmark,3180390,8537,3170851,545059,1463,129264242,22153445,5834950,Europe
37,41,Hong Kong,2889671,13522,2870850,380005,1778,76127725,10011143,7604299,Asia
38,42,Sweden,2706137,24087,2678039,264815,2357,19500873,1908301,10218971,Europe
39,43,Serbia,2533669,18018,2505908,292808,2082,12777907,1476700,8653016,Europe
40,44,Iraq,2465545,25375,2439497,58474,602,19544451,463523,42164965,Asia
41,45,Singapore,2340779,1727,2149583,393835,291,24756666,4165302,5943546,Asia
42,46,New Zealand,2313064,4119,2297967,472227,841,7768604,1586011,4898203,Australia/Oceania
43,47,Hungary,2201355,48846,2148647,229158,5085,11394556,1186160,9606259,Europe
44,48,Bangladesh,2038174,29446,1998448,12140,175,15254399,90862,167885689,Asia
45,49,Slovakia,1866312,21167,1844727,341803,3877,7425402,1359916,5460193,Europe
46,50,Georgia,1838936,17049,1776548,463355,4296,16920079,4263340,3968738,Asia
47,51,Jordan,1746997,14122,1731007,169597,1371,17201885,1669945,10300869,Asia
48,52,Ireland,1709705,8824,1698456,340565,1758,13083449,2606161,5020199,Europe
49,53,Pakistan,1580624,30656,1538689,6888,134,30571377,133215,229488994,Asia
50,54,Norway,1482988,5213,1476547,269078,946,11002430,1996315,5511370,Europe
51,55,Finland,1473603,9308,1458560,265277,1676,12069254,2172699,5554960,Europe
52,56,Kazakhstan,1411436,13848,1383020,73493,721,11575012,602707,19205043,Asia
53,57,Slovenia,1343174,7100,1328006,646368,3417,2847701,1370382,2078034,Europe
54,58,Lithuania,1318293,9664,1306194,495281,3631,10435867,3920741,2661708,Europe
55,59,Bulgaria,1303983,38325,1262533,190513,5599,11175468,1632743,6844597,Europe
56,60,Morocco,1273130,16297,1256151,33705,431,13001033,344191,37772756,Africa
57,61,Croatia,1272377,18155,1253558,313448,4472,5575343,1373479,4059286,Europe
58,62,Guatemala,1247933,20189,1226715,67151,1086,7202934,387587,18584039,North America
59,63,Lebanon,1236522,10899,1087587,184974,1630,4795578,717380,6684849,Asia
60,64,Costa Rica,1227546,9339,860711,236870,1802,4659757,899158,5182354,North America
61,65,Bolivia,1197022,22377,1166014,99813,1866,2705422,225590,11992656,South America
63,67,Cuba,1113217,8530,1104552,98466,754,14345279,1268859,11305652,North America
64,68,UAE,1061854,2349,1044594,105324,233,200257314,19863280,10081785,Asia
65,69,Ecuador,1061100,36019,1023510,58581,1989,3082403,170173,18113361,South America
66,70,Uruguay,1037893,7625,1029835,296879,2181,6114822,1749083,3496016,South America
67,71,Panama,1036100,8618,1026868,232990,1938,7636393,1717215,4446964,North America
68,72,Mongolia,1007993,2179,1005764,298392,645,4030048,1193000,3378078,Asia
69,73,Nepal,1002869,12029,990462,33179,398,6033879,199628,30225582,Asia
70,74,Belarus,994037,7118,985592,105381,755,13646641,1446722,9432800,Europe
71,75,Latvia,977593,6318,970902,528761,3417,7873232,4258478,1848837,Europe
72,76,Saudi Arabia,839965,9642,826721,23433,269,45429581,1267393,35844909,Asia
73,77,Azerbaijan,831199,10233,820762,80697,993,7585820,736473,10300205,Asia
75,79,Bahrain,719736,1562,717743,403443,876,10827533,6069303,1783983,Asia
76,80,Sri Lanka,672150,16841,655290,31153,781,6486117,300619,21575842,Asia
77,81,Kuwait,665741,2570,660237,151984,587,8455743,1930391,4380326,Asia
78,82,Dominican Republic,661008,4384,644785,59785,397,3740928,338350,11056370,North America
79,83,Cyprus,656904,1350,654314,536955,1103,9640118,7879860,1223387,Asia
80,84,Myanmar,634599,19490,614752,11491,353,10331702,187077,55227143,Asia
81,85,Palestine,621008,5404,615445,116173,1011,3078533,575907,5345541,Asia
82,86,Moldova,620253,12112,504142,154554,3018,3216305,801437,4013171,Europe
83,87,Estonia,617917,3001,524990,467443,2270,3703808,2801861,1321910,Europe
84,88,Venezuela,552593,5856,546479,18881,200,3359014,114771,29266991,South America
85,89,Egypt,515970,24613,442182,4860,232,3693367,34792,106156692,Africa
86,90,Libya,507250,6437,500807,72045,914,2483848,352782,7040745,Africa
87,91,Qatar,506323,690,504400,169912,232,4065369,1364257,2979915,Asia
88,92,Ethiopia,500817,7574,487936,4145,63,5538219,45841,120812698,Africa
89,93,Réunion,486588,921,418572,535854,1014,1603660,1766027,908061,Africa
91,95,Armenia,448980,8746,435162,151072,2943,3242901,1091164,2971966,Asia
92,96,Bosnia and Herzegovina,402804,16336,379084,123966,5028,1884721,580036,3249317,Europe
93,97,Oman,399449,4628,384669,75028,869,25000000,4695724,5323993,Asia
94,98,North Macedonia,348057,9672,337068,167230,4647,2226216,1069626,2081304,Europe
95,99,Zambia,343887,4058,339777,17662,208,4026977,206827,19470234,Africa
96,100,Kenya,343035,5688,337305,6102,101,3967062,70569,56215221,Africa
97,101,Albania,334726,3602,329428,116777,1257,1941032,677173,2866374,Europe
98,103,Luxembourg,297757,1133,288991,463528,1764,4412567,6869188,642371,Europe
99,104,Montenegro,291366,2824,287880,463996,4497,2747088,4374692,627950,Europe
100,105,Brunei,285740,225,243601,641491,505,717784,1611437,445431,Asia
101,106,Algeria,271697,6881,182947,5991,152,230861,5091,45350148,Africa
102,107,Nigeria,266675,3155,259953,1230,15,5708974,26339,216746934,Africa
103,108,Zimbabwe,264639,5686,258888,17261,371,2525756,164744,15331428,Africa
104,109,Uzbekistan,252725,1637,241486,7350,48,1377915,40077,34382084,Asia
105,110,Mozambique,233334,2242,228805,7052,68,1371127,41437,33089461,Africa
